prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,new_list,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,MODE2001,TURTLE,GENDER,REEFCODE,AGE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,STRIPED BASS,201812913weS:8AM-8PM,201869131166320181216,2018,0,0,9,9,9,4336,5,3,3,5,1,0.00,0,0,1,0,0,0,0,,,1166320181216001,4,6,2,,,,,O,we,,1166320181216,3,1166320181216001,,1,S:8AM-8PM,12,,,,1300,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,60,,2,,,438.12089339,201812913weS:8AM-8PM,,0,1166320181216001
,STRIPED BASS,201812913weS:8AM-8PM,201869131166320181216,2018,4,9,9,9,9,4336,5,3,3,5,4,0.00,30,1,1,0,0,0,0,,,1166320181216002,4,6,2,,,,,Y,we,,1166320181216,3,1166320181216002,,1,S:8AM-8PM,12,,,NEW HAVEN,1313,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,49,,2,,,438.12089339,201812913weS:8AM-8PM,,0,1166320181216002
,STRIPED BASS,201812913weS:8AM-8PM,201869131166320181216,2018,4,9,1,9,9,4336,5,3,3,5,4,0.00,30,1,1,0,0,0,0,,,1166320181216003,4,6,2,,,,,Y,we,,1166320181216,3,1166320181216003,,1,S:8AM-8PM,12,,,FAIRFIELD,1317,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,62,,2,,,438.12089339,201812913weS:8AM-8PM,,0,1166320181216003
,STRIPED BASS,201812913weS:8AM-8PM,201869131166320181216,2018,4,9,9,9,9,4336,5,3,3,5,2,0.00,6,1,1,0,0,0,0,,,1166320181216004,4,6,2,,,,,Y,we,,1166320181216,3,1166320181216004,,1,S:8AM-8PM,12,,,NEW HAVEN,1345,167680,,,1,,8,2,8,17JAN19:08:35,8,8835020102,,5,,1,,38,,2,,,438.12089339,201812913weS:8AM-8PM,,0,1166320181216004
,TAUTOG,201811913weS:8AM-8PM,201869131764520181102,2018,5,36,43,9,9,251,1,3,C,5,1.5,,4,4,1,0,0,0,0,,,1764520181102001,4,6,2,,,,,O,we,,1764520181102,1,1764520181102001,,1,S:8AM-8PM,11,,,,1546,170479,,,1,,8,1,8,17JAN19:08:35,8,8839010101,,0,,1,,73,,2,,,664.33806885,201811913weS:8AM-8PM,,0,1764520181102001
STRIPED BASS,BLUEFISH,201811913weS:8AM-8PM,201869131764520181102,2018,4,9,3,9,9,251,1,3,C,5,3,,50,10,1,0,0,0,0,,,1764520181102002,4,6,2,,,,,Y,we,,1764520181102,1,1764520181102002,,1,S:8AM-8PM,11,,,HARTFORD,1626,168559,167680,,1,,8,1,8,17JAN19:08:35,8,8835250101,8835020102,0,,1,,28,,2,,,664.33806885,201811913weS:8AM-8PM,,0,1764520181102002
,TAUTOG,201811913wdS:8AM-8PM,201869131764520181105,2018,4,9,11,9,11,661,1,3,C,5,1,,16,0,1,0,0,0,0,,,1764520181105001,4,6,2,,,,,Y,wd,,1764520181105,3,1764520181105001,,1,S:8AM-8PM,11,,,NEW LONDON,1204,170479,,,1,,8,2,8,17JAN19:08:35,8,8839010101,,1,,1,,52,,2,,,26196.522707,201811913wdS:8AM-8PM,,0,1764520181105001
,TAUTOG,201811913wdS:8AM-8PM,201869131764520181105,2018,4,9,3,9,11,661,1,3,C,5,0.5,,15,10,1,0,0,0,0,,,1764520181105002,4,6,2,,,,,Y,wd,,1764520181105,3,1764520181105002,,1,S:8AM-8PM,11,,,HARTFORD,1208,170479,,,1,,8,2,8,17JAN19:08:35,8,8839010101,,1,,1,,34,,2,,,26196.522707,201811913wdS:8AM-8PM,,0,1764520181105002
,STRIPED BASS,201811913wdS:8AM-8PM,201869131764520181106,2018,4,9,9,9,9,251,1,3,C,5,0.5,,998,8,1,0,0,0,0,,,1764520181106001,4,6,2,,,,,Y,wd,,1764520181106,1,1764520181106001,,1,S:8AM-8PM,11,,,NEW HAVEN,1128,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,0,,1,,33,,2,,,404.97588009,201811913wdS:8AM-8PM,,0,1764520181106001
,STRIPED BASS,201811913weS:8AM-8PM,201869131764520181117,2018,4,9,1,9,1,4334,5,3,3,5,1,0.00,30,0,1,0,0,0,0,,,1764520181117001,4,6,2,,,,,Y,we,,1764520181117,3,1764520181117001,,1,S:8AM-8PM,11,,,FAIRFIELD,1207,167680,,,1,,8,1,8,17JAN19:08:35,8,8835020102,,5,,1,,51,,2,,,389.22695849,201811913weS:8AM-8PM,,0,1764520181117001
